Open_time,Symbol,Open,High,Low,Close
1637539200000,XRPUSDT,1.05710000,1.07100000,1.02510000,1.03540000
1637625600000,XRPUSDT,1.03540000,1.07150000,1.01920000,1.06610000
1637712000000,XRPUSDT,1.06620000,1.07350000,1.00680000,1.03260000
1637798400000,XRPUSDT,1.03250000,1.06470000,1.02150000,1.04380000
1637884800000,XRPUSDT,1.04390000,1.04670000,0.91080000,0.93940000
1637971200000,XRPUSDT,0.93920000,0.96560000,0.93360000,0.94520000
1638057600000,XRPUSDT,0.94530000,0.96920000,0.88250000,0.96870000
1638144000000,XRPUSDT,0.96870000,1.00190000,0.96310000,0.98980000
1638230400000,XRPUSDT,0.98990000,1.03040000,0.97000000,0.99830000
1638316800000,XRPUSDT,0.99840000,1.01730000,0.97990000,0.98990000
1638403200000,XRPUSDT,0.98980000,0.99010000,0.95450000,0.97160000
1638489600000,XRPUSDT,0.97150000,0.98380000,0.89000000,0.92110000
1638576000000,XRPUSDT,0.92110000,0.92450000,0.60000000,0.84490000
1638662400000,XRPUSDT,0.84520000,0.86200000,0.76900000,0.80450000
1638748800000,XRPUSDT,0.80450000,0.83030000,0.74850000,0.82550000
1638835200000,XRPUSDT,0.82560000,0.84670000,0.80420000,0.81540000
1638921600000,XRPUSDT,0.81540000,0.88440000,0.80260000,0.86220000
1639008000000,XRPUSDT,0.86230000,0.93610000,0.83190000,0.85830000
1639094400000,XRPUSDT,0.85830000,0.88290000,0.79140000,0.79920000
1639180800000,XRPUSDT,0.79920000,0.84450000,0.78440000,0.83920000
1639267200000,XRPUSDT,0.83910000,0.85720000,0.80880000,0.83930000
1639353600000,XRPUSDT,0.83940000,0.84440000,0.76010000,0.78180000
1639440000000,XRPUSDT,0.78200000,0.82140000,0.77170000,0.81030000
1639526400000,XRPUSDT,0.81020000,0.84000000,0.77700000,0.82620000
1639612800000,XRPUSDT,0.82620000,0.83640000,0.80280000,0.80510000
1639699200000,XRPUSDT,0.80530000,0.83220000,0.77540000,0.79660000
1639785600000,XRPUSDT,0.79670000,0.83470000,0.79100000,0.82620000
1639872000000,XRPUSDT,0.82630000,0.84850000,0.81900000,0.83500000
1639958400000,XRPUSDT,0.83500000,0.91500000,0.82410000,0.87980000
1640044800000,XRPUSDT,0.87990000,0.96100000,0.85270000,0.94670000
1640131200000,XRPUSDT,0.94660000,0.97380000,0.92300000,0.95370000
1640217600000,XRPUSDT,0.95380000,1.01670000,0.93720000,0.99410000
1640304000000,XRPUSDT,0.99410000,0.99660000,0.89640000,0.91150000
1640390400000,XRPUSDT,0.91140000,0.93500000,0.89810000,0.92520000
1640476800000,XRPUSDT,0.92520000,0.93340000,0.90520000,0.92000000
1640563200000,XRPUSDT,0.92000000,0.95600000,0.91410000,0.92690000
1640649600000,XRPUSDT,0.92690000,0.92690000,0.84560000,0.85150000
1640736000000,XRPUSDT,0.85160000,0.86450000,0.81000000,0.81710000
1640822400000,XRPUSDT,0.81720000,0.86000000,0.80200000,0.83860000
1640908800000,XRPUSDT,0.83850000,0.85450000,0.80250000,0.82970000
1640995200000,XRPUSDT,0.82980000,0.85570000,0.82970000,0.85070000
1641081600000,XRPUSDT,0.85080000,0.86670000,0.83720000,0.85860000
1641168000000,XRPUSDT,0.85860000,0.85870000,0.82130000,0.83240000
1641254400000,XRPUSDT,0.83240000,0.84560000,0.77940000,0.82280000
1641340800000,XRPUSDT,0.82270000,0.83720000,0.70920000,0.77260000
1641427200000,XRPUSDT,0.77250000,0.79090000,0.73770000,0.77910000
1641513600000,XRPUSDT,0.77900000,0.78080000,0.72870000,0.76340000
1641600000000,XRPUSDT,0.76340000,0.77680000,0.72220000,0.74520000
1641686400000,XRPUSDT,0.74520000,0.76670000,0.73810000,0.75300000
1641772800000,XRPUSDT,0.75300000,0.75890000,0.69670000,0.73990000
1641859200000,XRPUSDT,0.73990000,0.77680000,0.73060000,0.77030000
1641945600000,XRPUSDT,0.77020000,0.81600000,0.75700000,0.79870000
1642032000000,XRPUSDT,0.79860000,0.80240000,0.76040000,0.76800000
1642118400000,XRPUSDT,0.76770000,0.80000000,0.75130000,0.77320000
1642204800000,XRPUSDT,0.77330000,0.79000000,0.76800000,0.77910000
1642291200000,XRPUSDT,0.77910000,0.78840000,0.76800000,0.77840000
1642377600000,XRPUSDT,0.77850000,0.78050000,0.74980000,0.76170000
1642464000000,XRPUSDT,0.76160000,0.76860000,0.73520000,0.75090000
1642550400000,XRPUSDT,0.75100000,0.75330000,0.72310000,0.73810000
1642636800000,XRPUSDT,0.73810000,0.76220000,0.71610000,0.71990000
1642723200000,XRPUSDT,0.71990000,0.72850000,0.61120000,0.63680000
1642809600000,XRPUSDT,0.63680000,0.65420000,0.54890000,0.59660000
1642896000000,XRPUSDT,0.59660000,0.63520000,0.59000000,0.62830000
1642982400000,XRPUSDT,0.62840000,0.62860000,0.55240000,0.61180000
1643068800000,XRPUSDT,0.61180000,0.62430000,0.58720000,0.61800000
1643155200000,XRPUSDT,0.61780000,0.65860000,0.60470000,0.61930000
1643241600000,XRPUSDT,0.61930000,0.62470000,0.58930000,0.60880000
1643328000000,XRPUSDT,0.60890000,0.61400000,0.59160000,0.61110000
1643414400000,XRPUSDT,0.61120000,0.62550000,0.60830000,0.61740000
1643500800000,XRPUSDT,0.61750000,0.62320000,0.59730000,0.60130000
